t,z1,z2,z3
637,-1.2092935,0.5412906,1.3447357
638,-0.9904628,0.41841713,1.1745722
639,-0.8297035,0.2638216,1.0036075
640,-1.1180041,0.2217558,1.1214519
641,-1.5102395,0.51204157,1.4948931
642,-1.3674968,0.5362298,1.4810627
643,-1.1457461,0.33578965,1.2464495
644,-1.0890125,0.19893917,1.1449512
645,-1.2042406,0.27591607,1.2424256
646,-0.8920044,-0.024701543,1.080466
647,-1.0265833,0.053883962,0.96421325
648,-1.1748817,-0.08699263,0.899766
649,-1.5247416,0.16366446,1.1332219
650,-1.5624591,0.19193728,1.2541424
651,-1.6367607,0.048616905,1.3975223
652,-1.4262961,-0.21638843,1.2243739
653,-1.234506,-0.37259957,1.1213151
654,-0.9445558,-0.4844534,1.0749288
655,-1.031248,-0.36385506,1.1572454
656,-0.6049994,-0.51289713,0.8968223
657,-0.7061408,-0.4231462,0.8770729
658,-0.31185955,-0.5847933,0.6021611
659,0.25466564,-0.87579626,0.60369337
660,0.17627282,-0.83112645,0.60809165
661,0.59930474,-1.2265172,0.78525907
662,-0.18391907,-0.82969236,0.43820047
